"Event ID","Title","Category","Starting Date","Ending Date","Location","Repetition","Description","Persons Involved"
"2012-03-24 14:09:20.220246586",,"Other",,,,"No",,
"2012-03-24 14:09:21.249134904",,"Other",,,,"No",,
"2012-03-24 14:09:22.254593353",,"Other",,,,"No",,
"2012-03-24 14:09:23.260954291",,"Other",,,,"No",,
"2012-03-24 14:09:24.265670057",,"Other",,,,"No",,
"2012-03-24 14:09:25.269397236",,"Other",,,,"No",,
"2012-03-24 14:09:26.280661495",,"Other",,,,"No",,
"2012-03-24 14:09:27.285477956",,"Other",,,,"No",,
"2012-03-24 14:09:28.287741202",,"Other",,,,"No",,
"2012-03-24 14:09:29.292486924",,"Other",,,,"No",,
"2012-03-24 14:09:30.297466814",,"Other",,,,"No",,
"2012-03-24 14:09:31.302195592",,"Other",,,,"No",,
"2012-03-24 14:09:32.307700154",,"Other",,,,"No",,
"2012-03-24 14:09:33.313614497",,"Other",,,,"No",,
"2012-03-24 14:09:34.318655865",,"Other",,,,"No",,
"2012-03-24 14:09:35.323848032",,"Other",,,,"No",,
"2012-03-24 14:09:36.328666341",,"Other",,,,"No",,
"2012-03-24 14:09:37.33110766",,"Other",,,,"No",,
"2012-03-24 14:09:38.336581031",,"Other",,,,"No",,
"2012-03-24 14:09:39.339617849",,"Other",,,,"No",,
"2012-03-24 14:09:40.34334532",,"Other",,,,"No",,
"2012-03-24 14:09:41.347994250",,"Other",,,,"No",,
"2012-03-24 14:09:42.351702883",,"Other",,,,"No",,
"2012-03-24 14:09:43.355108406",,"Other",,,,"No",,
"2012-03-24 14:09:44.359147688",,"Other",,,,"No",,
"2012-03-24 14:09:45.362718933",,"Other",,,,"No",,
"2012-03-24 14:09:46.366469597",,"Other",,,,"No",,
"2012-03-24 14:09:47.370694841",,"Other",,,,"No",,
"2012-03-24 14:09:48.373754279",,"Other",,,,"No",,
"2012-03-24 14:09:49.376577789",,"Other",,,,"No",,
"2012-03-24 14:09:50.379291622",,"Other",,,,"No",,
"2012-03-24 14:09:51.38296981",,"Other",,,,"No",,
